timestamp,is_random_set,training records,validation records,spatial_dropout_prop,recurr_units,recurrent_regularizer_l1_factor,recurrent_regularizer_l2_factor,recurrent_dropout_prop,conv_units,kernel_size_1,kernel_size_2,dense_units_1,dense_units_2,dropout_prop,lr,lr_decay_rate,lr_decay_step,batch_size,epochs,best_training_step,best_val_rmse,val_loss,val_rmse__last_10_avg,val_loss__last_10_avg,train_rmse__last_10_avg,train_loss__last_10_avg,local_path
20200731-134049,1,7352,1298,0.04,67,0.02439,0.03556,0.00159,22,4,3,24,16,0.37,0.0237,0.56,20,512,120,85,0.698764265,1.685326645,0.720476788,1.77251867,0.359355205,1.091829668,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-134049
20200731-141012,1,7352,1298,0.02,30,0.00804,0.0376,0.00495,28,4,3,37,27,0.45,0.017,0.17,42,512,120,57,0.700637221,1.031778253,0.733539391,0.968518553,0.434028804,0.31336277,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-141012
20200731-143911,1,7352,1298,0.58,108,0.01245,0.01315,0.01141,30,5,3,15,14,0.22,0.0159,0.21,51,512,120,26,0.661951482,14.79918811,0.684268308,1.438342391,0.40926041,0.885043215,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-143911
20200731-151133,1,7352,1298,0.22,55,0.03859,0.01575,0.01394,30,3,3,83,75,0.7,0.029,0.26,22,512,120,83,0.692736685,1.169665426,0.697614616,0.841775905,0.498833013,0.415715286,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-151133
20200731-175808,1,7352,1298,0.49,29,0.04977,0.01151,0.01673,18,6,3,56,32,0.57,0.0214,0.22,36,512,120,45,0.691178799,2.292771596,0.718857914,0.909175926,0.606623697,0.627870885,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-175808
20200731-182816,1,7352,1298,0.15,32,0.01795,0.03217,0.01139,26,4,4,93,72,0.19,0.0317,0.08,27,512,120,39,0.68020761,1.122823347,0.692895776,0.868555646,0.348341694,0.196425921,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-182816
20200731-185720,1,7352,1298,0.75,58,0.01107,0.00671,0.00934,24,5,2,34,19,0.48,0.0135,0.05,51,512,120,96,0.698152304,0.967521847,0.702727938,0.800089354,0.725468713,0.829633196,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-185720
20200731-192821,1,7352,1298,0.51,89,0.01101,0.02102,0.00807,26,2,3,71,26,0.46,0.0049,0.26,28,512,120,107,0.688770473,0.829776451,0.691103625,0.806064307,0.649451542,0.672694997,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-192821
20200731-195911,1,7352,1298,0.84,82,0.01047,0.01068,0.01165,24,3,2,45,14,0.59,0.0287,0.48,24,512,120,116,0.777376473,1.718916948,0.781572491,1.624236576,0.87862457,1.812829519,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-195911
20200731-202849,1,7352,1298,0.56,95,0.01042,0.04849,0.01604,30,2,4,66,50,0.33,0.0096,0.54,51,512,120,63,0.665022314,3.797873165,0.692408466,2.458506762,0.418776971,1.866878274,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-202849
20200731-210041,1,7352,1298,0.01,82,0.03325,0.01201,0.0009,29,2,5,37,25,0.26,0.0079,0.27,11,512,120,20,0.710507989,3.431748533,0.711042601,0.924460533,0.508840388,0.429626881,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-210041
20200731-213336,1,7352,1298,0.44,52,0.03533,0.00752,0.00288,19,7,3,32,30,0.45,0.0311,0.19,25,512,120,58,0.6895383,1.399016554,0.701871198,0.847124843,0.501611063,0.415734744,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-213336
20200731-220314,1,7352,1298,0.23,84,0.02063,0.0273,7.00E-05,27,4,3,60,36,0.49,0.0125,0.02,30,512,120,43,0.70106107,1.011930065,0.710158217,0.864064233,0.556226343,0.465774624,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-220314
20200731-223340,1,7352,1298,0.68,66,0.00532,0.03536,0.00092,15,4,6,22,4,0.21,0.0257,0.12,44,512,120,83,0.717715025,1.319516706,0.72822203,0.923581044,0.705625385,0.81376868,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-223340
20200731-230329,1,7352,1298,0.75,85,0.01205,0.01787,0.01226,28,3,5,39,37,0.48,0.0146,0.07,49,512,120,87,0.670844257,1.336397027,0.677600771,0.798260041,0.656207275,0.718106424,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-230329
20200731-233354,1,7352,1298,0.04,105,0.02549,0.03593,0.0004,28,2,2,34,20,0.26,0.0212,0.2,29,512,120,33,0.690037668,8.233044837,0.707652462,1.075469884,0.301168397,0.350761793,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200731-233354
20200801-000607,0,7352,1298,0.35,112,0.01165,0.03518,0.00482,31,2,3,93,55,0.15,0.0328,0.1,45,512,120,114,0.670262516,1.199830684,0.671399677,1.126373695,0.271402496,0.415791886,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-000607
20200801-003852,1,7352,1298,0.19,49,0.03533,0.01886,0.00035,30,2,3,12,11,0.08,0.0124,0.09,63,512,120,66,0.681368947,1.448156538,0.688501066,1.417639286,0.255157259,0.688739328,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-003852
20200801-010808,1,7352,1298,0.59,120,0.03253,0.04003,0.00326,16,5,3,39,12,0.57,0.0217,0.39,32,512,120,67,0.684448779,7.245442667,0.702478969,4.40699879,0.620674706,4.240321267,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-010808
20200801-014105,1,7352,1298,0.1,109,0.03158,0.01233,4.00E-05,26,2,4,43,36,0.52,0.0236,0.06,29,512,120,33,0.691365957,3.444418289,0.702780926,0.871680264,0.483466628,0.377045719,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-014105
20200801-021332,1,7352,1298,0.67,120,0.00876,0.00758,0.01256,17,2,4,65,40,0.56,0.0197,0.16,25,512,120,70,0.695516884,1.262823344,0.70453974,0.827990509,0.694670939,0.765666817,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-021332
20200801-024635,1,7352,1298,0.48,61,0.00893,0.00557,0.00278,28,2,6,23,16,0.33,0.0105,0.24,19,512,120,35,0.678645551,1.228243394,0.686306322,0.803723815,0.610932791,0.57860659,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-024635
20200801-031623,1,7352,1298,0.66,69,0.03299,0.01723,0.00234,21,3,2,28,24,0.52,0.0102,0.14,46,512,120,71,0.688878536,2.164178252,0.69345898,0.956062599,0.663661408,0.871791856,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-031623
20200801-034609,1,7352,1298,0.09,95,0.02731,0.04174,0.01287,31,7,4,26,14,0.25,0.0167,0.07,54,512,120,103,0.694108725,2.543500519,0.700607806,1.000843614,0.29500865,0.27891835,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-034609
20200801-041825,1,7352,1298,0.13,48,0.01984,0.01401,0.02053,27,4,6,49,40,0.24,0.0181,0.16,11,512,120,15,0.691567361,1.893688446,0.714145929,0.921465744,0.511254603,0.409406309,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-041825
20200801-044801,0,7352,1298,0.57,110,0.0123,0.02637,0.00646,27,2,2,41,23,0.1,0.0283,0.1,45,512,120,86,0.636453509,3.261932561,0.641215992,0.971893203,0.424141243,0.542490624,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-044801
20200801-052027,1,7352,1298,0.42,99,0.00907,0.01921,0.00858,22,4,6,40,31,0.23,0.0174,0.05,44,512,120,52,0.668506324,1.170932162,0.682220757,0.854153559,0.371377361,0.244930766,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-052027
20200801-055238,1,7352,1298,0.02,122,0.00825,0.01939,0.02698,19,3,3,24,10,0.29,0.0228,0.2,29,512,120,76,0.711642861,1.525411417,0.716382086,0.948423163,0.381908169,0.361594681,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-055238
20200801-062623,1,7352,1298,0.46,64,0.03766,0.01916,0.00047,26,4,4,59,44,0.56,0.0157,0.23,22,512,120,30,0.672324896,3.133922063,0.692252982,0.818697013,0.591832429,0.54369244,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-062623
20200801-065617,1,7352,1298,0.59,65,0.0107,0.02117,0.0049,26,3,4,42,39,0.46,0.0128,0.02,29,512,120,100,0.694032907,0.807210189,0.69431029,0.807687282,0.649502712,0.666134693,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-065617
20200801-072641,1,7352,1298,0.58,41,0.0248,0.04467,0.02158,23,3,2,62,60,0.47,0.0225,0.07,38,512,120,71,0.669461071,1.164074316,0.677660292,0.781981926,0.582096142,0.543744534,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-072641
20200801-075559,1,7352,1298,0.76,125,0.02433,0.02652,0.01832,21,3,4,58,38,0.49,0.0228,0.08,30,512,120,51,0.686475873,5.312667158,0.694428605,0.819688413,0.727579093,0.86627369,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-075559
20200801-082950,1,7352,1298,0.47,114,0.00953,0.02124,0.00226,27,6,3,87,71,0.56,0.0225,0.07,21,512,120,58,0.67770493,0.851540026,0.679016215,0.761152393,0.596366572,0.550708093,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-082950
20200801-090312,1,7352,1298,0.63,106,0.03161,0.01833,0.01728,8,3,4,10,7,0.29,0.0257,0.05,49,512,120,50,0.678559661,4.529275259,0.690259784,0.90360805,0.623581731,0.758141877,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-090312
20200801-100130,1,7352,1298,0.86,124,0.00783,0.00508,0.00999,17,3,2,50,25,0.3,0.0151,0.18,56,512,120,105,0.692958713,2.796590924,0.702765924,1.531797871,0.725296372,1.554933318,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-100130
20200801-103457,1,7352,1298,0.05,107,0.01886,0.02757,0.00725,31,2,3,53,48,0.53,0.0131,0.47,34,512,120,104,0.67735368,3.933312166,0.69234429,2.61766174,0.35333603,1.97338363,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-103457
20200801-110647,1,7352,1298,0.36,108,0.0073,0.02414,0.02528,10,2,3,32,11,0.4,0.0328,0.4,42,512,120,48,0.669624448,7.707484991,0.694978988,3.562061302,0.44387055,3.049716334,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-110647
20200801-113807,1,7352,1298,0.52,38,0.03542,0.00927,0.00451,22,3,6,56,46,0.78,0.0376,0.17,37,512,120,57,0.724152505,3.101199427,0.737959886,0.963102287,0.659018356,0.738066682,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-113807
20200801-120718,1,7352,1298,0.4,118,0.02714,0.0292,0.00393,27,6,2,31,23,0.34,0.0152,0.34,20,512,120,28,0.676677763,12.78006474,0.692858851,0.993739259,0.46048061,0.485951316,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-120718
20200801-124043,1,7352,1298,0.49,124,0.03392,0.00874,0.02245,12,2,4,28,20,0.23,0.0088,0.17,19,512,120,23,0.682503402,4.544849622,0.700605005,0.838484731,0.649611187,0.673257683,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-124043
20200801-131347,1,7352,1298,0.15,124,0.01265,0.0441,0.00673,27,3,4,16,15,0.27,0.0178,0.06,16,512,120,24,0.667241037,2.046809061,0.678222996,0.795626047,0.553741181,0.473465758,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-131347
20200801-134737,1,7352,1298,0.31,86,0.01026,0.01085,0.00681,24,2,2,57,35,0.43,0.0123,0.06,33,512,120,55,0.677678585,1.156616523,0.689632899,0.823794683,0.540805763,0.438544883,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-134737
20200801-141806,1,7352,1298,0.63,72,0.02064,0.03264,0.00338,18,4,3,25,16,0.19,0.0181,0.22,11,512,120,29,0.688453078,1.403842288,0.691101527,0.796697556,0.699566174,0.790103912,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-141806
20200801-144802,1,7352,1298,0.41,64,0.03026,0.04087,0.00827,28,2,2,93,33,0.7,0.0368,0.17,30,512,120,59,0.670584142,5.443690285,0.679950696,0.89841516,0.602305001,0.70457763,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-144802
20200801-151736,1,7352,1298,0.23,69,0.01597,0.03065,0.00877,22,4,2,45,9,0.53,0.0315,0.36,11,512,120,31,0.714458525,2.662894048,0.721209002,0.864548084,0.592437971,0.576141439,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-151736
20200801-154743,1,7352,1298,0.44,123,0.03561,0.02161,0.00453,22,4,4,48,27,0.55,0.0127,0.13,54,512,120,88,0.688768983,5.052528763,0.698630166,1.522307236,0.530116576,1.134744579,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-154743
20200801-162118,1,7352,1298,0.29,115,0.01251,0.02031,0.01231,15,2,4,32,23,0.32,0.0164,0.04,65,512,120,28,0.679048836,17.38177811,0.686616015,1.51264733,0.360990065,0.871283858,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-162118
20200801-165344,1,7352,1298,0.53,124,0.00508,0.02717,0.01669,23,4,4,25,23,0.5,0.015,0.15,58,512,120,50,0.674006283,8.127542321,0.695582879,1.50652412,0.510437816,1.127111124,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-165344
20200801-172719,1,7352,1298,0.52,127,0.04112,0.01157,0.00871,31,2,5,64,46,0.53,0.0126,0.12,19,512,120,36,0.674879074,6.420512178,0.679520464,0.772623928,0.652672666,0.66506244,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-172719
20200801-180126,1,7352,1298,0.02,26,0.01116,0.0088,0.01219,18,5,4,59,52,0.41,0.0204,0.36,34,512,120,71,0.688978851,0.998554186,0.702574092,0.94742989,0.262625507,0.163939625,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-180126
20200801-183031,1,7352,1298,0.16,67,0.0265,0.03474,0.00417,28,2,2,50,47,0.59,0.015,0.01,42,512,120,40,0.689637065,11.68103711,0.696973264,0.82891162,0.538172573,0.449509129,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-183031
20200801-190042,1,7352,1298,0.47,80,0.02858,0.01743,0.00736,31,4,6,51,29,0.44,0.0178,0.06,46,512,120,58,0.672518671,1.838113923,0.686918718,0.847655366,0.490507907,0.44789535,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-190042
20200801-193117,1,7352,1298,0.3,95,0.04455,0.02029,0.00962,28,2,4,37,14,0.33,0.0136,0.1,10,512,120,75,0.704062939,0.823615486,0.704341131,0.823664,0.721025342,0.813941444,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-193117
20200801-200340,1,7352,1298,0.15,122,0.00673,0.00761,0.00592,20,3,4,32,28,0.23,0.0354,0.01,27,512,120,53,0.692740381,1.034915044,0.696884125,0.83924472,0.388498724,0.24368853,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-200340
20200801-203816,1,7352,1298,0.65,127,0.01477,0.02447,0.00545,23,7,2,49,22,0.56,0.0065,0.09,63,512,120,53,0.696808934,10.21387473,0.714743054,1.645817161,0.638038182,1.464165912,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-203816
20200801-211237,1,7352,1298,0.12,34,0.02333,0.02582,0.00195,31,5,3,57,32,0.43,0.0207,0.01,28,512,120,54,0.677215159,0.822232679,0.68306545,0.799056924,0.483149987,0.36412092,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-211237
20200801-214223,1,7352,1298,0.45,101,0.04013,0.02303,0.00317,31,2,4,33,11,0.34,0.0214,0.15,47,512,120,86,0.680887461,8.421451187,0.685763794,1.982892717,0.459901646,1.535475105,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-214223
20200801-221401,1,7352,1298,0.07,116,0.00877,0.0344,0.00115,27,3,5,56,51,0.49,0.0175,0.31,14,512,120,21,0.698603451,4.770905668,0.716543549,0.901636113,0.467304507,0.334043945,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-221401
20200801-224723,1,7352,1298,0.15,119,0.00642,0.03398,0.01952,23,3,3,42,30,0.4,0.0094,0.21,29,512,120,23,0.681810737,6.129211702,0.702371478,0.910968579,0.44252305,0.337488642,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-224723
20200801-232034,1,7352,1298,0.01,109,0.03156,0.03878,0.0058,19,3,6,36,15,0.53,0.0264,0.31,49,512,120,58,0.699810863,19.73987024,0.723205304,6.619197017,0.491825715,6.140127816,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-232034
20200801-235302,1,7352,1298,0.05,117,0.01012,0.02522,0.00225,30,3,2,37,36,0.53,0.0159,0.04,22,512,120,42,0.68670702,1.38174103,0.697374701,0.825136736,0.542168349,0.453569484,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200801-235302
20200802-002558,1,7352,1298,0.09,93,0.01255,0.00567,0.00876,17,5,3,44,43,0.53,0.0374,0.33,33,512,120,99,0.677067935,3.536293504,0.702417582,1.732246374,0.281360045,1.031450276,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-002558
20200802-005705,1,7352,1298,0.13,109,0.01433,0.03935,0.00101,27,4,3,25,24,0.43,0.0111,0.02,68,512,120,116,0.691886187,1.150891556,0.696458131,1.125056574,0.367262721,0.460972909,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-005705
20200802-012927,1,7352,1298,0.54,74,0.04404,0.01551,0.01633,27,4,4,34,31,0.54,0.0094,0.03,23,512,120,116,0.708955169,0.817296726,0.709034085,0.817377339,0.747401041,0.872327989,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-012927
20200802-020012,1,7352,1298,0.14,116,0.00586,0.01229,0.00626,29,4,4,71,67,0.54,0.0273,0.64,25,512,120,103,0.685752809,31.50872786,0.722973788,31.93226149,0.279678583,31.1287015,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-020012
20200802-023306,1,7352,1298,0.24,122,0.0247,0.00535,0.0086,25,5,6,49,39,0.63,0.0139,0.09,73,512,120,113,0.681496441,3.477114589,0.71318891,3.626566558,0.496286118,3.153800432,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-023306
20200802-030709,1,7352,1298,0.02,112,0.01513,0.01786,0.00483,13,4,5,37,28,0.42,0.0179,0.16,27,512,120,44,0.707096219,3.802762198,0.720380551,0.935984458,0.357278058,0.227431514,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-030709
20200802-033928,1,7352,1298,0.11,120,0.01013,0.04395,0.00475,23,3,3,42,22,0.33,0.0157,0.61,36,512,120,44,0.678374887,9.429285032,0.706501025,4.022654768,0.316561311,3.319937532,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-033928
20200802-041211,1,7352,1298,0.03,84,0.02829,0.00731,0.02377,22,4,4,63,59,0.3,0.0212,0.64,44,512,120,59,0.692996144,15.18621911,0.734555376,11.33009025,0.231257208,10.51283582,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-041211
20200802-044206,1,7352,1298,0.02,98,0.01958,0.00639,0.00668,17,2,6,25,19,0.43,0.0355,0.54,21,512,120,99,0.699940979,3.366494581,0.717141056,2.793143998,0.335093424,2.053194325,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-044206
20200802-051403,1,7352,1298,0.59,124,0.02056,0.0102,0.00864,26,5,2,67,49,0.4,0.0199,0.09,14,512,120,39,0.69860369,1.13754366,0.699331927,0.806488797,0.711589235,0.815562727,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-051403
20200802-054806,1,7352,1298,0.11,95,0.01605,0.01419,0.01871,30,2,5,84,45,0.6,0.0223,0.38,16,512,120,45,0.693130612,3.374443077,0.712566119,0.90464193,0.499141377,0.416001754,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-054806
20200802-061936,1,7352,1298,0.3,86,0.00685,0.03492,0.00544,12,2,3,40,37,0.65,0.0037,0.12,46,512,120,81,0.722037792,0.991521573,0.723525494,0.872120886,0.659695363,0.681085903,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-061936
20200802-065008,1,7352,1298,0.26,66,0.02275,0.01692,0.00531,22,5,2,33,11,0.37,0.0178,0.33,12,512,120,16,0.692198098,4.263563854,0.703898764,0.830711057,0.577020496,0.513119504,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-065008
20200802-072018,1,7352,1298,0.19,116,0.00983,0.02023,0.01742,26,2,3,37,35,0.5,0.0149,0.02,33,512,120,65,0.678980231,1.073262309,0.681396669,0.808528627,0.51371004,0.403680303,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-072018
20200802-075319,1,7352,1298,0.28,40,0.0083,0.03044,0.00259,17,4,4,18,16,0.41,0.0058,0.02,29,512,120,53,0.716942549,0.855556336,0.718455726,0.844596843,0.707597613,0.773575348,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-075319
20200802-082352,1,7352,1298,0.41,76,0.0195,0.02006,0.00492,26,5,4,53,48,0.67,0.0169,0.08,51,512,120,84,0.680372238,1.807883251,0.689108139,0.895202838,0.56907801,0.5789976,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-082352
20200802-085415,1,7352,1298,0.58,88,0.01048,0.03124,0.00976,17,6,2,59,21,0.52,0.0248,0.21,37,512,120,67,0.666253269,3.3531601,0.68820051,0.945465133,0.602936673,0.71596666,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-085415
20200802-110540,1,7352,1298,0.12,61,0.0284,0.01104,3.00E-05,26,3,3,27,24,0.42,0.006,0.09,64,512,120,45,0.691659868,4.681258276,0.717546207,1.248437243,0.401783606,0.604071499,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-110540
20200802-113804,1,7352,1298,0.15,57,0.03639,0.00785,0.0182,30,6,5,46,41,0.46,0.007,0.73,43,512,120,99,0.692243278,3.070249832,0.756241298,3.659364312,0.380414581,2.884577016,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-113804
20200802-120819,1,7352,1298,0.01,28,0.0197,0.01493,0.01319,25,5,3,57,34,0.69,0.0324,0.14,24,512,120,36,0.753004432,1.396965784,0.768110871,0.958345179,0.629155475,0.601687879,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-120819
20200802-123742,1,7352,1298,0.1,90,0.00854,0.01781,0.0063,30,6,4,43,29,0.54,0.0301,0.34,54,512,120,98,0.689739585,5.187143091,0.721401209,2.36391946,0.429155824,1.759918001,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-123742
20200802-130918,1,7352,1298,0.78,127,0.00661,0.02829,0.00046,31,5,2,93,82,0.76,0.0347,0.04,45,512,120,85,0.716737926,1.732942185,0.720520419,0.87764748,0.764188969,0.980229184,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-130918
20200802-134335,1,7352,1298,0.1,85,0.03362,0.0257,0.01573,26,2,5,43,9,0.44,0.0136,0.2,56,512,120,85,0.686888993,4.822444742,0.705889416,2.302253056,0.442061314,1.832989054,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-134335
20200802-143025,1,7352,1298,0.35,111,0.00673,0.03074,0.00213,18,4,4,48,45,0.48,0.0236,0.09,50,512,120,88,0.668504834,1.875147599,0.685360569,0.889721055,0.406208238,0.365609481,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-143025
20200802-150302,1,7352,1298,0.56,89,0.02371,0.02414,0.01404,25,5,2,56,52,0.32,0.0144,0.06,17,512,120,29,0.691842914,1.736540075,0.701575357,0.824910957,0.680280489,0.744624018,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-150302
20200802-153405,1,7352,1298,0.67,78,0.01986,0.00948,0.01345,30,6,2,25,18,0.49,0.0121,0.12,34,512,120,22,0.709479988,9.688576778,0.718363929,0.858690217,0.64499281,0.666803687,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-153405
20200802-160425,1,7352,1298,0.25,94,0.00697,0.02931,6.00E-05,24,2,3,70,57,0.67,0.0129,0.14,49,512,120,93,0.686180294,1.553083031,0.709992069,0.950369808,0.517840135,0.5113878,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-160425
20200802-163512,1,7352,1298,0.75,116,0.02848,0.0196,0.0013,27,5,3,21,20,0.33,0.0049,0.16,59,512,120,96,0.699121952,2.332143907,0.713162053,2.341613897,0.660796887,2.213516154,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-163512
20200802-170856,1,7352,1298,0.69,58,0.02173,0.01577,0.00779,30,2,5,82,12,0.25,0.0225,0.29,33,512,120,48,0.669377744,3.769058338,0.69066416,1.047086729,0.609529352,0.819358163,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-170856
20200802-173831,1,7352,1298,0.14,76,0.01105,0.01215,0.0022,26,6,4,40,38,0.27,0.0121,0.25,33,512,120,88,0.669900894,1.071230323,0.678041977,0.914416158,0.307305482,0.225505871,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-173831
20200802-180851,1,7352,1298,0.53,113,0.01503,0.0398,0.0003,31,2,2,41,26,0.4,0.0064,0.06,50,512,120,55,0.67491883,1.248464119,0.68167991,0.808260296,0.569437087,0.526714635,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-180851
20200802-184127,1,7352,1298,0.42,87,0.01514,0.01443,0.0093,29,2,6,75,35,0.54,0.0109,0.28,34,512,120,64,0.677584529,2.943269258,0.700495338,0.982174286,0.536704618,0.60574982,D:\jupyter_notebooks\NLP_Sentiment_Analysis_French\model\trained_instances\20200802-184127
